Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9557,1959 September 17,1:03:37,N,2S,17W
9558,1960 March 13,8:28:21,T-,3N,125W
9559,1960 September 5,11:21:51,T+,6S,171W
9560,1961 March 2,13:28:40,P,8N,161E
9561,1961 August 26,3:08:51,P,11S,46W
9562,1962 February 19,13:03:42,N,12N,168E
9563,1962 July 17,11:54:49,N,20S,177W
9564,1962 August 15,19:57:30,N,15S,62E
9565,1963 January 9,23:19:42,Nx,21N,12E
9566,1963 July 6,22:02:59,P,22S,31E
9567,1963 December 30,11:07:25,T,23N,166W
9568,1964 June 25,1:06:50,T-,24S,16W
9569,1964 December 19,2:37:54,T,24N,40W
9570,1965 June 14,1:49:26,P,24S,27W
9571,1965 December 8,17:10:32,N,24N,100E
9572,1966 May 4,21:12:06,N,15S,42E
9573,1966 October 29,10:12:53,N,12N,157W
9574,1967 April 24,12:07:04,T,12S,178E
9575,1967 October 18,10:15:48,T,9N,157W
9576,1968 April 13,4:48:01,T,9S,72W
9577,1968 October 6,11:42:35,T,6N,179W
9578,1969 April 2,18:33:06,N,6S,82E
9579,1969 August 27,10:48:15,Ne,11S,161W
9580,1969 September 25,20:10:19,N,2N,55E
9581,1970 February 21,8:30:43,P,11N,124W
9582,1970 August 17,3:24:06,P,14S,49W
9583,1971 February 10,7:45:21,T,15N,112W
9584,1971 August 6,19:43:52,T-,17S,66E
9585,1972 January 30,10:54:05,T,17N,160W
9586,1972 July 26,7:16:22,P,19S,108W
9587,1973 January 18,21:17:58,N,19N,43E
9588,1973 June 15,20:50:41,N,25S,48E
9589,1973 July 15,11:39:19,Nb,20S,174W
9590,1973 December 10,1:45:06,P,24N,28W
9591,1974 June 4,22:16:44,P,23S,26E
9592,1974 November 29,15:14:07,T,22N,129E
9593,1975 May 25,5:48:47,T+,21S,88W
9594,1975 November 18,22:24:12,T,19N,20E
9595,1976 May 13,19:55:08,P,18S,61E
9596,1976 November 6,23:01:59,N,15N,11E
9597,1977 April 4,4:19:04,P,7S,64W
9598,1977 September 27,8:30:08,N,3N,130W
9599,1978 March 24,16:23:11,T-,2S,116E
9600,1978 September 16,19:05:01,T,2S,73E
9601,1979 March 13,21:08:52,P,3N,46E
9602,1979 September 6,10:55:02,T,7S,164W
9603,1980 March 1,20:46:03,N,8N,52E
9604,1980 July 27,19:08:59,N,18S,74E
9605,1980 August 26,3:31:20,N,12S,52W
9606,1981 January 20,7:50:48,Nx,19N,115W
9607,1981 July 17,4:47:40,P,21S,70W
9608,1982 January 9,19:56:44,T,22N,63E
9609,1982 July 6,7:31:47,T-,23S,112W
9610,1982 December 30,11:29:37,T,24N,172W
9611,1983 June 25,8:23:11,P,24S,125W
9612,1983 December 20,1:49:57,N,24N,28W
9613,1984 May 15,4:41:03,N,18S,71W
9614,1984 June 13,14:26:39,Nb,25S,143E
9615,1984 November 8,17:56:08,N,16N,88E
9616,1985 May 4,19:57:19,T,16S,60E
9617,1985 October 28,17:43:17,T,13N,91E
9618,1986 April 24,12:43:30,T,13S,169E
9619,1986 October 17,19:18:54,T,10N,67E
9620,1987 April 14,2:19:50,N,10S,35W
9621,1987 October 7,4:02:30,N,6N,64W
9622,1988 March 3,16:13:41,Nx,7N,120E
9623,1988 August 27,11:05:29,P,11S,165W
9624,1989 February 20,15:36:18,T,11N,130E
9625,1989 August 17,3:09:07,T-,14S,46W
9626,1990 February 9,19:12:02,T,14N,76E
9627,1990 August 6,14:13:16,P,16S,148E
9628,1991 January 30,5:59:38,N,17N,87W
9629,1991 June 27,3:15:41,N,25S,48W
9630,1991 July 26,18:08:50,N,18S,89E
9631,1991 December 21,10:34:00,P,24N,159W
9632,1992 June 15,4:57:57,P,24S,74W
9633,1992 December 9,23:45:05,T,23N,2E
9634,1993 June 4,13:01:26,T+,22S,164E
9635,1993 November 29,6:27:06,T,21N,99W
9636,1994 May 25,3:31:20,P,20S,53W
9637,1994 November 18,6:44:54,N,18N,105W
9638,1995 April 15,12:19:04,P,11S,175E
9639,1995 October 8,16:05:12,N,7N,116E
9640,1996 April 4,0:10:47,T-,6S,2W
9641,1996 September 27,2:55:24,T,2N,46W
9642,1997 March 24,4:40:28,P,1S,68W
9643,1997 September 16,18:47:42,T,3S,77E
9644,1998 March 13,4:21:08,N,4N,62W
9645,1998 August 8,2:25:57,N,15S,35W
9646,1998 September 6,11:11:11,N,7S,168W
9647,1999 January 31,16:18:35,Nx,16N,119E
9648,1999 July 28,11:34:46,P,18S,172W
9649,2000 January 21,4:44:34,T,20N,68W
9650,2000 July 16,13:56:39,T+,21S,153E
9651,2001 January 9,20:21:40,T,22N,57E
9652,2001 July 5,14:56:23,P,23S,137E
9653,2001 December 30,10:30:22,N,24N,157W
9654,2002 May 26,12:04:26,N,20S,179E
9655,2002 June 24,21:28:13,N,25S,39E
9656,2002 November 20,1:47:40,N,19N,30W
9657,2003 May 16,3:41:13,T,19S,56W
9658,2003 November 9,1:19:38,T,16N,24W
9659,2004 May 4,20:31:17,T,17S,51E
9660,2004 October 28,3:05:11,T,13N,50W
9661,2005 April 24,9:55:55,N,14S,150W
9662,2005 October 17,12:04:27,P,10N,175E
9663,2006 March 14,23:48:34,Nx,3N,6E
9664,2006 September 7,18:52:25,P,7S,77E
9665,2007 March 3,23:21:59,T,7N,13E
9666,2007 August 28,10:38:27,T-,10S,159W
9667,2008 February 21,3:27:09,T,10N,48W
9668,2008 August 16,21:11:12,P,13S,43E
9669,2009 February 9,14:39:22,N,14N,144E
9670,2009 July 7,9:39:43,N,24S,143W
9671,2009 August 6,0:40:18,N,16S,9W
9672,2009 December 31,19:23:46,P,24N,70E
9673,2010 June 26,11:39:34,P,24S,174W
9674,2010 December 21,8:18:04,T,24N,125W
9675,2011 June 15,20:13:43,T+,23S,57E
9676,2011 December 10,14:32:56,T,23N,140E
9677,2012 June 4,11:04:20,P,22S,166W
9678,2012 November 28,14:34:07,N,20N,139E
9679,2013 April 25,20:08:38,P,14S,57E
9680,2013 May 25,4:11:06,Nb,19S,63W
9681,2013 October 18,23:51:25,N,11N,2W
9682,2014 April 15,7:46:48,T,10S,116W
9683,2014 October 8,10:55:44,T,6N,167W
9684,2015 April 4,12:01:24,T,5S,179W
9685,2015 September 28,2:48:17,T,2N,44W
9686,2016 March 23,11:48:21,N,0S,175W
9687,2016 September 16,18:55:27,N,3S,75E
9688,2017 February 11,0:45:03,N,13N,8W
9689,2017 August 7,18:21:38,P,15S,86E
9690,2018 January 31,13:31:00,T,17N,161E
9691,2018 July 27,20:22:54,T+,19S,56E
9692,2019 January 21,5:13:27,T,20N,75W
9693,2019 July 16,21:31:55,P,22S,39E
9694,2020 January 10,19:11:11,N,23N,74E
9695,2020 June 5,19:26:14,N,21S,69E
9696,2020 July 5,4:31:12,N,24S,66W
9697,2020 November 30,9:44:01,N,21N,148W
9698,2021 May 26,11:19:53,T,21S,170W
9699,2021 November 19,9:04:06,P,19N,139W
9700,2022 May 16,4:12:42,T-,19S,64W
9701,2022 November 8,11:00:22,T+,17N,169W
9702,2023 May 5,17:24:05,N,17S,98E
9703,2023 October 28,20:15:18,P,14N,52E
9704,2024 March 25,7:13:59,N,1S,106W
9705,2024 September 18,2:45:25,P,3S,42W
