Catalog Number,Calendar Date,Eclipse Time,Eclipse Type,Eclipse Magnitude,Latitude,Longitude
9477,1985 November 12,14:11:27,T,1.0388,68.6S,142.6W
9478,1986 April 9,6:21:22,P,0.8236,61.2S,161.4E
9479,1986 October 3,19:06:15,H,1,59.9N,37.1W
9480,1987 March 29,12:49:47,H,1.0013,12.3S,2.3W
9481,1987 September 23,3:12:22,A,0.9634,14.3N,138.4E
9482,1988 March 18,1:58:56,T,1.0464,20.7N,140.0E
9483,1988 September 11,4:44:29,A,0.9377,20.0S,94.4E
9484,1989 March 7,18:08:41,P,0.8268,61.2N,169.8W
9485,1989 August 31,5:31:47,P,0.6344,61.3S,23.6E
9486,1990 January 26,19:31:24,A,0.967,71.0S,22.2W
9487,1990 July 22,3:03:07,T,1.0391,65.2N,168.9E
9488,1991 January 15,23:53:51,A,0.929,36.4S,170.4W
9489,1991 July 11,19:07:01,Tm,1.08,22.0N,105.2W
9490,1992 January 4,23:05:37,A,0.9179,1.0N,169.7W
9491,1992 June 30,12:11:22,T,1.0592,25.2S,9.5W
9492,1992 December 24,0:31:41,P,0.8422,65.7N,155.7E
9493,1993 May 21,14:20:15,P,0.7352,68.8N,162.3E
9494,1993 November 13,21:45:51,P,0.928,69.6S,58.3E
9495,1994 May 10,17:12:27,A,0.9431,41.5N,84.1W
9496,1994 November 3,13:40:06,T,1.0535,35.4S,34.2W
9497,1995 April 29,17:33:20,A,0.9497,4.8S,79.4W
9498,1995 October 24,4:33:30,T,1.0213,8.4N,113.2E
9499,1996 April 17,22:38:12,P,0.8799,71.3S,104.0W
9500,1996 October 12,14:03:04,P,0.7575,71.7N,32.1E
9501,1997 March 9,1:24:51,T,1.042,57.8N,130.7E
9502,1997 September 2,0:04:48,P,0.8988,71.8S,114.3E
9503,1998 February 26,17:29:27,T,1.0441,4.7N,82.7W
9504,1998 August 22,2:07:11,A,0.9734,3.0S,145.4E
9505,1999 February 16,6:34:38,A,0.9928,39.8S,93.9E
9506,1999 August 11,11:04:09,T,1.0286,45.1N,24.3E
9507,2000 February 5,12:50:27,P,0.5795,70.2S,134.1E
9508,2000 July 1,19:33:34,P,0.4768,66.9S,109.5W
9509,2000 July 31,2:14:08,P,0.6034,69.5N,59.9W
9510,2000 December 25,17:35:57,P,0.7228,66.3N,74.1W
9511,2001 June 21,12:04:46,T,1.0495,11.3S,2.7E
9512,2001 December 14,20:53:01,A,0.9681,0.6N,130.7W
9513,2002 June 10,23:45:22,A,0.9962,34.5N,178.6W
9514,2002 December 4,7:32:16,T,1.0244,39.5S,59.6E
9515,2003 May 31,4:09:22,An,0.9384,66.6N,24.5W
9516,2003 November 23,22:50:22,T,1.0379,72.7S,88.4E
9517,2004 April 19,13:35:05,P,0.7367,61.6S,44.3E
9518,2004 October 14,3:00:23,P,0.9282,61.2N,153.7W
9519,2005 April 8,20:36:51,H,1.0074,10.6S,119.0W
9520,2005 October 3,10:32:47,A,0.9576,12.9N,28.7E
9521,2006 March 29,10:12:23,T,1.0515,23.2N,16.7E
9522,2006 September 22,11:41:16,A,0.9352,20.6S,9.1W
9523,2007 March 19,2:32:57,P,0.8756,61.0N,55.5E
9524,2007 September 11,12:32:24,P,0.7507,61.0S,90.2W
9525,2008 February 7,3:56:10,A,0.965,67.6S,150.5W
9526,2008 August 1,10:22:12,T,1.0394,65.7N,72.3E
9527,2009 January 26,7:59:45,A,0.9282,34.1S,70.2E
9528,2009 July 22,2:36:25,T,1.0799,24.2N,144.1E
9529,2010 January 15,7:07:39,A,0.919,1.6N,69.3E
9530,2010 July 11,19:34:38,T,1.058,19.7S,121.9W
9531,2011 January 4,8:51:42,P,0.8576,64.7N,20.8E
9532,2011 June 1,21:17:18,P,0.601,67.8N,46.8E
9533,2011 July 1,8:39:30,Pb,0.0971,65.2S,28.6E
9534,2011 November 25,6:21:24,P,0.9047,68.6S,82.4W
9535,2012 May 20,23:53:54,A,0.9439,49.1N,176.3E
9536,2012 November 13,22:12:55,T,1.05,40.0S,161.3W
9537,2013 May 10,0:26:20,A,0.9544,2.2N,175.5E
9538,2013 November 3,12:47:36,H3,1.0159,3.5N,11.7W
9539,2014 April 29,6:04:33,A-,0.9868,70.6S,131.3E
9540,2014 October 23,21:45:39,P,0.8114,71.2N,97.2W
9541,2015 March 20,9:46:47,T,1.0445,64.4N,6.6W
9542,2015 September 13,6:55:19,P,0.7875,72.1S,2.3W
9543,2016 March 9,1:58:19,T,1.045,10.1N,148.8E
9544,2016 September 1,9:08:02,A,0.9736,10.7S,37.8E
9545,2017 February 26,14:54:33,A,0.9922,34.7S,31.2W
9546,2017 August 21,18:26:40,T,1.0306,37.0N,87.7W
9547,2018 February 15,20:52:33,P,0.5991,71.0S,0.6E
9548,2018 July 13,3:02:16,P,0.3365,67.9S,127.4E
9549,2018 August 11,9:47:28,P,0.7368,70.4N,174.5E
9550,2019 January 6,1:42:38,P,0.7145,67.4N,153.6E
9551,2019 July 2,19:24:08,T,1.0459,17.4S,109.0W
9552,2019 December 26,5:18:53,A,0.9701,1.0N,102.3E
9553,2020 June 21,6:41:15,Am,0.994,30.5N,79.7E
9554,2020 December 14,16:14:39,T,1.0254,40.3S,67.9W
9555,2021 June 10,10:43:07,A,0.9435,80.8N,66.8W
